model,GMXX_cum_death,PLXX_cum_death,GMXX_inc_death,PLXX_inc_death,GMXX_cum_case,PLXX_cum_case,GMXX_inc_case,PLXX_inc_case
FIAS_FZJ-Epi1Ger,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
KIT-baseline,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
KIT-time_series_baseline,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ITWW-county_repro,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LeipzigIMISE-SECIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
epiforecasts-EpiNow2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Karlen-pypm,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
USC-SIkJalpha,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CovidMetrics-epiBATS,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
HKUST-DNN_DA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ICM-agentModel,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
