week,reporting_labs,VOC_count,VOC_proportion,B.1.1.7_count,B.1.1.7_proportion,B.1.351_count,B.1.351_proportion,P.1_count,P.1_proportion,B.1.617_count,B.1.617_proportion
02,2,1,2.0,1,2.0,0,0.0,0,0.0,,
03,17,122,3.6,122,3.6,0,0.0,0,0.0,,
04,36,1537,5.0,1441,4.7,95,0.3,1,0.0,,
05,56,2105,7.8,1931,7.2,174,0.6,0,0.0,,
06,59,6380,18.8,5978,17.6,385,1.1,17,0.1,,
07,69,7935,26.7,7698,25.9,210,0.7,27,0.1,,
08,83,18763,41.2,18224,40.0,502,1.1,37,0.1,,
09,106,20081,55.5,19687,54.4,379,1.0,15,0.0,0,0.0
10,123,36776,64.5,36224,63.6,540,0.9,12,0.0,0,0.0
11,142,45209,72.3,44580,71.3,604,1.0,25,0.0,0,0.0
12,130,69874,79.4,69057,78.5,759,0.9,58,0.1,0,0.0
13,134,62965,83.3,62318,82.4,589,0.8,58,0.1,0,0.0
14,135,67330,86.2,66585,85.2,705,0.9,40,0.1,0,0.0
15,141,97729,90.2,96855,89.4,821,0.8,53,0.0,0,0.0
16,141,90795,91.5,89999,90.7,719,0.7,71,0.1,6,0.0
17,141,78377,90.4,77727,89.7,561,0.6,62,0.1,28,0.0
18,140,70310,92.0,69580,91.1,544,0.7,111,0.1,49,0.1
19,140,49878,91.7,49410,90.9,334,0.6,73,0.1,61,0.1
20,139,39894,90.9,39431,89.8,237,0.5,132,0.3,94,0.2
21,134,22264,90.8,21785,88.8,197,0.8,57,0.2,225,0.9
22,132,17133,89.6,16617,86.9,89,0.5,65,0.3,362,1.9
23*,,,,,,,,,,,
24,132,15722,87.2,14149,78.4,127,0.7,80,0.4,1366,7.6
25,119,4507,82.0,3014,54.8,42,0.8,51,0.9,1400,25.5
